✅ 기록됨: 0ms, 보정된 pitch: 0.00
✅ 기록됨: 1700ms, 보정된 pitch: 1.40
✅ 기록됨: 2705ms, 보정된 pitch: 3.70
✅ 기록됨: 3708ms, 보정된 pitch: 14.46
✅ 기록됨: 4711ms, 보정된 pitch: 4.43
✅ 기록됨: 5715ms, 보정된 pitch: 17.19
✅ 기록됨: 6718ms, 보정된 pitch: 4.16
✅ 기록됨: 7722ms, 보정된 pitch: 11.12
✅ 기록됨: 8725ms, 보정된 pitch: 8.44
✅ 기록됨: 9728ms, 보정된 pitch: 10.35
✅ 기록됨: 10731ms, 보정된 pitch: 13.57
✅ 기록됨: 11734ms, 보정된 pitch: 15.03
✅ 기록됨: 12739ms, 보정된 pitch: 3.57
✅ 기록됨: 13742ms, 보정된 pitch: 1.70
✅ 기록됨: 14745ms, 보정된 pitch: 10.36
✅ 기록됨: 15747ms, 보정된 pitch: 10.13
✅ 기록됨: 16752ms, 보정된 pitch: 10.91
✅ 기록됨: 17755ms, 보정된 pitch: 20.91
✅ 기록됨: 18759ms, 보정된 pitch: 8.56
✅ 기록됨: 19762ms, 보정된 pitch: 11.11
✅ 기록됨: 20765ms, 보정된 pitch: 12.18
✅ 기록됨: 21769ms, 보정된 pitch: 7.19
✅ 기록됨: 22772ms, 보정된 pitch: 9.13
✅ 기록됨: 23775ms, 보정된 pitch: 9.64
✅ 기록됨: 24779ms, 보정된 pitch: 9.69
✅ 기록됨: 25783ms, 보정된 pitch: 9.49
✅ 기록됨: 26785ms, 보정된 pitch: 8.76
✅ 기록됨: 27789ms, 보정된 pitch: 9.87
✅ 기록됨: 28793ms, 보정된 pitch: 9.37
✅ 기록됨: 29797ms, 보정된 pitch: 9.76
✅ 기록됨: 30800ms, 보정된 pitch: 9.55
✅ 기록됨: 31803ms, 보정된 pitch: 9.45
✅ 기록됨: 32807ms, 보정된 pitch: 8.26
✅ 기록됨: 33808ms, 보정된 pitch: 9.17
✅ 기록됨: 34812ms, 보정된 pitch: 8.31
✅ 기록됨: 35816ms, 보정된 pitch: 9.80
✅ 기록됨: 36820ms, 보정된 pitch: 10.04
✅ 기록됨: 37824ms, 보정된 pitch: 9.55
✅ 기록됨: 38826ms, 보정된 pitch: 9.18
✅ 기록됨: 39831ms, 보정된 pitch: 9.53
✅ 기록됨: 40834ms, 보정된 pitch: 8.79
✅ 기록됨: 41839ms, 보정된 pitch: 8.53
✅ 기록됨: 42841ms, 보정된 pitch: 9.45
✅ 기록됨: 43845ms, 보정된 pitch: 9.18
✅ 기록됨: 44848ms, 보정된 pitch: 8.79
✅ 기록됨: 45852ms, 보정된 pitch: 8.98
✅ 기록됨: 46854ms, 보정된 pitch: 10.22
✅ 기록됨: 47858ms, 보정된 pitch: 8.66
✅ 기록됨: 48862ms, 보정된 pitch: 8.70
✅ 기록됨: 49864ms, 보정된 pitch: 9.28
✅ 기록됨: 50868ms, 보정된 pitch: 8.57
✅ 기록됨: 51870ms, 보정된 pitch: 7.71
✅ 기록됨: 52874ms, 보정된 pitch: 8.95
✅ 기록됨: 53876ms, 보정된 pitch: 8.61
✅ 기록됨: 54880ms, 보정된 pitch: 8.71
✅ 기록됨: 55883ms, 보정된 pitch: 8.40
✅ 기록됨: 56887ms, 보정된 pitch: 8.78
✅ 기록됨: 57890ms, 보정된 pitch: 8.12
✅ 기록됨: 58894ms, 보정된 pitch: 7.60
✅ 기록됨: 59897ms, 보정된 pitch: 8.57
✅ 기록됨: 60900ms, 보정된 pitch: 8.62
✅ 기록됨: 61903ms, 보정된 pitch: 7.92
✅ 기록됨: 62906ms, 보정된 pitch: 7.95
✅ 기록됨: 63911ms, 보정된 pitch: 7.84
✅ 기록됨: 64913ms, 보정된 pitch: 7.25
✅ 기록됨: 65917ms, 보정된 pitch: 7.06
✅ 기록됨: 66921ms, 보정된 pitch: 8.49
✅ 기록됨: 67923ms, 보정된 pitch: 11.81
✅ 기록됨: 68926ms, 보정된 pitch: 11.48
✅ 기록됨: 69930ms, 보정된 pitch: 11.97
✅ 기록됨: 70933ms, 보정된 pitch: 10.96
✅ 기록됨: 71937ms, 보정된 pitch: 10.88
✅ 기록됨: 72940ms, 보정된 pitch: 10.73
✅ 기록됨: 73944ms, 보정된 pitch: 10.69
✅ 기록됨: 74947ms, 보정된 pitch: 10.25
✅ 기록됨: 75951ms, 보정된 pitch: 10.74
✅ 기록됨: 76954ms, 보정된 pitch: 10.97
✅ 기록됨: 77956ms, 보정된 pitch: 10.49
✅ 기록됨: 78959ms, 보정된 pitch: 10.73
✅ 기록됨: 79964ms, 보정된 pitch: 10.99
✅ 기록됨: 80966ms, 보정된 pitch: 10.40
✅ 기록됨: 81971ms, 보정된 pitch: 9.59
✅ 기록됨: 82975ms, 보정된 pitch: 10.09
✅ 기록됨: 83978ms, 보정된 pitch: 10.29
✅ 기록됨: 84982ms, 보정된 pitch: 10.08
✅ 기록됨: 85987ms, 보정된 pitch: 10.32
✅ 기록됨: 86989ms, 보정된 pitch: 10.19
✅ 기록됨: 87992ms, 보정된 pitch: 11.01
✅ 기록됨: 88996ms, 보정된 pitch: 10.38
✅ 기록됨: 89999ms, 보정된 pitch: 10.27
✅ 기록됨: 91004ms, 보정된 pitch: 10.24
✅ 기록됨: 92006ms, 보정된 pitch: 9.96
✅ 기록됨: 93010ms, 보정된 pitch: 10.00
✅ 기록됨: 94013ms, 보정된 pitch: 9.80
✅ 기록됨: 95016ms, 보정된 pitch: 10.17
✅ 기록됨: 96020ms, 보정된 pitch: 10.32
✅ 기록됨: 97022ms, 보정된 pitch: 9.56
✅ 기록됨: 98025ms, 보정된 pitch: 9.76
✅ 기록됨: 99029ms, 보정된 pitch: 9.95
✅ 기록됨: 100032ms, 보정된 pitch: 9.69
✅ 기록됨: 101035ms, 보정된 pitch: 9.32
✅ 기록됨: 102038ms, 보정된 pitch: 10.59
✅ 기록됨: 103041ms, 보정된 pitch: 10.01
✅ 기록됨: 104044ms, 보정된 pitch: 9.45
✅ 기록됨: 105047ms, 보정된 pitch: 10.20
✅ 기록됨: 106051ms, 보정된 pitch: 10.70
✅ 기록됨: 107055ms, 보정된 pitch: 9.12
✅ 기록됨: 108057ms, 보정된 pitch: 9.30
✅ 기록됨: 109062ms, 보정된 pitch: 9.74
✅ 기록됨: 110065ms, 보정된 pitch: 8.85
✅ 기록됨: 111068ms, 보정된 pitch: 9.33
✅ 기록됨: 112072ms, 보정된 pitch: 8.89
✅ 기록됨: 113073ms, 보정된 pitch: 9.97
✅ 기록됨: 114077ms, 보정된 pitch: 9.24
✅ 기록됨: 115081ms, 보정된 pitch: 9.18
✅ 기록됨: 116085ms, 보정된 pitch: 9.38
✅ 기록됨: 117088ms, 보정된 pitch: 9.60
✅ 기록됨: 118092ms, 보정된 pitch: 9.09
✅ 기록됨: 119096ms, 보정된 pitch: 8.96
✅ 기록됨: 120098ms, 보정된 pitch: 9.41
✅ 기록됨: 121102ms, 보정된 pitch: 8.73
✅ 기록됨: 122104ms, 보정된 pitch: 8.70
✅ 기록됨: 123107ms, 보정된 pitch: 9.06
✅ 기록됨: 124110ms, 보정된 pitch: 8.74